Id,SalePrice
1461,115547
1462,136288
1463,167157
1464,183806
1465,210396
1466,179774
1467,165329
1468,176876
1469,185628
1470,119360
1471,189251
1472,89845
1473,99719
1474,156911
1475,144819
1476,423584
1477,257877
1478,302174
1479,300871
1480,415006
1481,346884
1482,216696
1483,187504
1484,186397
1485,159638
1486,211828
1487,372037
1488,260212
1489,200907
1490,189563
1491,182606
1492,106056
1493,179065
1494,302889
1495,290999
1496,212520
1497,188299
1498,149911
1499,149911
1500,151934
1501,170877
1502,145674
1503,311743
1504,227572
1505,216783
1506,213935
1507,226279
1508,202482
1509,170251
1510,150968
1511,148558
1512,164025
1513,164806
1514,150949
1515,168060
1516,165517
1517,149445
1518,159005
1519,214871
1520,139618
1521,150700
1522,185919
1523,120308
1524,123985
1525,127397
1526,132210
1527,78263
1528,121716
1529,152472
1530,149994
1531,113722
1532,100851
1533,152311
1534,122792
1535,143433
1536,120506
1537,73695
1538,189756
1539,219001
1540,134063
1541,155701
1542,148298
1543,234610
1544,90134
1545,100229
1546,113255
1547,112452
1548,128443
1549,104724
1550,148440
1551,116492
1552,133675
1553,131612
1554,129366
1555,155152
1556,114667
1557,142469
1558,103289
1559,121203
1560,143988
1561,160332
1562,112734
1563,121268
1564,172772
1565,151371
1566,156164
1567,84558
1568,213229
1569,119513
1570,117760
1571,114762
1572,142153
1573,225314
1574,161925
1575,190796
1576,192187
1577,200968
1578,147394
1579,144802
1580,182473
1581,133558
1582,122658
1583,345485
1584,243889
1585,137710
1586,70080
1587,105493
1588,147940
1589,110526
1590,133315
1591,112817
1592,129866
1593,122269
1594,149784
1595,149726
1596,261398
1597,166460
1598,167608
1599,183808
1600,184759
1601,56168
1602,104348
1603,91075
1604,276002
1605,255602
1606,168797
1607,204371
1608,201863
1609,199334
1610,161938
1611,155042
1612,193598
1613,180748
1614,122891
1615,83076
1616,83076
1617,84551
1618,124409
1619,134372
1620,183937
1621,142106
1622,143025
1623,270829
1624,201747
1625,120981
1626,185764
1627,183352
1628,269163
1629,169569
1630,316418
1631,272091
1632,276207
1633,159173
1634,181434
1635,171527
1636,160497
1637,173753
1638,217797
1639,179885
1640,260750
1641,177237
1642,220844
1643,251370
1644,218257
1645,179544
1646,151710
1647,163468
1648,153536
1649,133052
1650,122255
1651,121549
1652,100876
1653,103738
1654,165867
1655,153589
1656,153192
1657,166319
1658,152223
1659,144286
1660,136207
1661,496652
1662,410865
1663,387947
1664,479726
1665,344774
1666,264088
1667,309466
1668,345369
1669,277819
1670,315190
1671,251867
1672,427014
1673,302973
1674,258866
1675,191828
1676,190470
1677,206723
1678,423225
1679,365106
1680,334935
1681,302586
1682,284794
1683,179684
1684,181904
1685,173981
1686,186764
1687,159638
1688,184290
1689,185209
1690,181200
1691,161130
1692,256649
1693,159638
1694,180120
1695,165438
1696,273339
1697,165438
1698,352152
1699,367712
1700,239082
1701,272736
1702,281721
1703,307178
1704,305956
1705,322870
1706,452123
1707,211094
1708,215917
1709,279044
1710,226647
1711,226316
1712,301995
1713,237864
1714,207703
1715,181114
1716,192885
1717,177153
1718,138975
1719,212852
1720,254854
1721,170965
1722,122362
1723,154307
1724,222802
1725,227202
1726,193837
1727,175974
1728,180508
1729,162248
1730,144707
1731,133970
1732,119054
1733,121417
1734,132580
1735,118619
1736,117573
1737,339839
1738,201520
1739,318113
1740,185870
1741,169744
1742,170877
1743,178011
1744,294289
1745,265263
1746,256110
1747,218891
1748,219093
1749,164660
1750,147702
1751,243948
1752,120948
1753,167240
1754,234901
1755,161952
1756,115484
1757,123445
1758,139901
1759,148981
1760,151311
1761,150309
1762,172313
1763,186904
1764,126555
1765,187508
1766,169315
1767,193331
1768,137245
1769,193191
1770,138764
1771,142499
1772,152119
1773,135847
1774,158897
1775,132269
1776,119411
1777,111356
1778,120542
1779,118191
1780,172048
1781,140469
1782,106081
1783,128081
1784,74880
1785,110885
1786,173877
1787,150814
1788,54365
1789,116136
1790,59757
1791,226977
1792,156373
1793,147792
1794,138179
1795,140856
1796,120810
1797,127136
1798,127580
1799,108984
1800,110722
1801,113833
1802,168853
1803,154934
1804,137006
1805,136524
1806,123385
1807,158903
1808,117660
1809,110940
1810,152608
1811,120058
1812,113083
1813,126332
1814,88433
1815,62707
1816,97909
1817,123531
1818,136545
1819,113911
1820,71373
1821,135984
1822,154381
1823,57502
1824,133194
1825,139160
1826,97196
1827,102148
1828,142949
1829,115566
1830,178921
1831,169632
1832,150908
1833,164118
1834,119932
1835,176342
1836,147148
1837,92107
1838,138373
1839,78733
1840,167130
1841,159555
1842,93512
1843,140537
1844,131185
1845,142016
1846,147684
1847,154823
1848,55890
1849,114931
1850,135656
1851,150834
1852,136166
1853,143020
1854,164387
1855,138075
1856,229595
1857,133398
1858,150550
1859,124766
1860,150247
1861,124766
1862,297465
1863,297465
1864,297465
1865,315400
1866,345873
1867,275724
1868,282008
1869,193207
1870,218316
1871,252610
1872,169354
1873,227444
1874,129753
1875,193350
1876,218360
1877,192764
1878,215533
1879,128869
1880,136236
1881,232133
1882,259460
1883,190693
1884,226409
1885,244424
1886,267467
1887,185342
1888,252156
1889,160034
1890,129100
1891,145326
1892,116907
1893,144460
1894,158667
1895,150640
1896,121944
1897,122158
1898,108974
1899,129319
1900,135931
1901,155215
1902,125628
1903,234392
1904,137979
1905,187435
1906,142640
1907,205607
1908,128945
1909,135867
1910,135867
1911,193472
1912,254052
1913,127611
1914,73720
1915,301628
1916,62334
1917,262946
1918,129161
1919,150323
1920,181109
1921,414872
1922,313842
1923,229084
1924,230491
1925,241408
1926,398885
1927,130798
1928,156584
1929,124258
1930,115607
1931,139213
1932,142607
1933,157611
1934,183319
1935,179112
1936,183806
1937,186786
1938,182693
1939,292177
1940,210396
1941,186392
1942,180839
1943,197185
1944,313880
1945,323164
1946,172570
1947,315956
1948,165628
1949,235923
1950,179203
1951,251596
1952,266557
1953,161948
1954,224489
1955,137945
1956,279089
1957,183309
1958,311974
1959,157110
1960,118102
1961,124965
1962,100876
1963,103738
1964,119878
1965,156911
1966,145897
1967,240659
1968,448542
1969,375262
1970,439755
1971,447852
1972,342327
1973,267209
1974,291406
1975,424491
1976,263283
1977,319367
1978,399645
1979,350622
1980,201125
1981,298026
1982,224113
1983,224113
1984,176319
1985,199770
1986,201281
1987,187391
1988,177002
1989,191008
1990,221334
1991,206723
1992,221156
1993,168915
1994,260759
1995,181616
1996,263189
1997,328841
1998,335613
1999,242603
2000,313860
2001,248091
2002,228578
2003,268503
2004,239238
2005,256697
2006,243041
2007,294135
2008,196361
2009,187867
2010,182129
2011,150531
2012,190224
2013,176620
2014,204312
2015,183712
2016,196979
2017,200960
2018,133361
2019,121417
2020,108684
2021,119489
2022,183824
2023,158330
2024,218730
2025,358171
2026,179777
2027,148057
2028,153166
2029,174281
2030,283359
2031,243666
2032,315217
2033,259879
2034,158656
2035,212635
2036,212496
2037,213735
2038,301385
2039,191526
2040,410389
2041,267941
2042,211442
2043,176799
2044,179614
2045,258370
2046,165590
2047,153578
2048,130263
2049,149152
2050,180914
2051,105372
2052,144159
2053,140732
2054,79960
2055,164347
2056,117184
2057,120571
2058,206113
2059,143459
2060,153653
2061,176920
2062,135851
2063,116712
2064,146847
2065,127966
2066,167290
2067,136556
2068,163214
2069,85155
2070,111284
2071,92499
2072,149951
2073,137692
2074,187890
2075,142761
2076,130930
2077,152868
2078,127221
2079,134074
2080,129052
2081,126380
2082,152866
2083,154145
2084,119236
2085,145042
2086,122106
2087,130399
2088,125294
2089,103373
2090,130074
2091,114878
2092,133419
2093,141099
2094,136916
2095,149606
2096,93672
2097,92557
2098,152332
2099,53486
2100,115974
2101,128947
2102,150226
2103,95589
2104,152711
2105,117474
2106,78042
2107,242407
2108,131960
2109,119316
2110,117362
2111,165138
2112,145613
2113,110159
2114,105278
2115,151445
2116,122805
2117,145798
2118,130832
2119,110413
2120,96630
2121,113903
2122,93273
2123,101489
2124,234596
2125,153184
2126,165008
2127,147257
2128,131313
2129,109137
2130,159755
2131,198270
2132,136024
2133,116995
2134,114795
2135,104292
2136,80750
2137,120171
2138,141219
2139,147981
2140,134009
2141,131185
2142,148538
2143,150045
2144,122506
2145,127215
2146,145032
2147,147120
2148,117373
2149,128824
2150,257530
2151,133470
2152,162861
2153,171909
2154,117169
2155,126053
2156,233980
2157,225428
2158,225012
2159,228664
2160,160381
2161,275639
2162,491169
2163,332334
2164,248595
2165,180406
2166,141787
2167,185342
2168,214038
2169,181111
2170,211211
2171,142093
2172,144555
2173,157716
2174,242023
2175,291815
2176,257228
2177,273313
2178,215701
2179,147047
2180,205791
2181,202984
2182,230964
2183,206912
2184,143275
2185,124652
2186,153229
2187,150885
2188,152921
2189,172086
2190,90964
2191,90964
2192,103927
2193,92796
2194,99732
2195,113252
2196,99689
2197,119766
2198,176638
2199,168476
2200,122056
2201,124785
2202,203621
2203,170748
2204,147648
2205,125097
2206,136896
2207,202332
2208,229984
2209,162282
2210,128945
2211,116332
2212,112293
2213,106417
2214,145006
2215,91334
2216,148839
2217,77123
2218,94057
2219,73848
2220,75115
2221,301628
2222,220178
2223,242125
2224,209288
2225,134678
2226,175853
2227,191696
2228,243272
2229,214695
2230,159887
2231,203087
2232,186942
2233,173776
2234,304442
2235,193030
2236,304433
2237,376522
2238,202297
2239,115329
2240,160402
2241,140845
2242,141847
2243,136187
2244,85690
2245,86431
2246,147284
2247,99119
2248,127781
2249,130155
2250,136630
2251,128015
2252,195204
2253,157843
2254,182519
2255,191645
2256,175826
2257,213819
2258,175167
2259,186621
2260,151284
2261,184565
2262,211094
2263,306263
2264,482901
2265,165839
2266,288770
2267,340015
2268,376216
2269,175078
2270,172859
2271,256125
2272,197841
2273,166186
2274,172758
2275,192719
2276,162572
2277,203300
2278,159234
2279,121206
2280,112602
2281,177850
2282,177122
2283,101640
2284,118879
2285,145919
2286,132977
2287,306949
2288,272381
2289,393990
2290,428593
2291,295865
2292,402779
2293,477394
2294,439281
2295,480642
2296,295874
2297,267308
2298,299519
2299,417497
2300,315394
2301,235940
2302,231739
2303,292945
2304,253331
2305,177412
2306,177412
2307,191591
2308,227212
2309,265723
2310,236366
2311,179684
2312,177265
2313,177762
2314,165845
2315,172623
2316,191377
2317,187687
2318,172436
2319,169304
2320,190849
2321,252141
2322,193335
2323,175544
2324,159638
2325,225380
2326,159152
2327,221369
2328,221291
2329,196295
2330,182090
2331,371314
2332,417989
2333,324145
2334,268925
2335,257805
2336,312888
2337,223662
2338,238261
2339,234735
2340,385584
2341,247662
2342,240631
2343,219170
2344,243636
2345,253513
2346,237924
2347,192376
2348,216128
2349,165804
2350,240427
2351,241186
2352,271468
2353,218869
2354,123381
2355,169532
2356,148317
2357,213349
2358,201810
2359,125203
2360,128266
2361,142141
2362,269242
2363,143206
2364,149220
2365,217917
2366,188106
2367,248234
2368,205338
2369,227246
2370,172556
2371,175671
2372,190997
